Date,P,U,BYM,E,R,W,PUSA
2005-01-01,4.02739060546569,-0.803364298299666,0.0222313763665565,2.01978277596922,2.21928634845474,15.0696700827549,-1.68477533567443
2005-02-01,3.93127449516973,-0.886141712971324,0.00500595651984309,1.8580251013496,2.72465052589054,15.2605933679736,-1.47144629572756
2005-03-01,3.90457775487378,-0.802465517642982,-0.0155610652530295,1.78406742672999,3.04001470332633,15.3987578296629,-1.15861725578071
2005-04-01,3.82348523457782,-0.86600487031464,-0.0102442078451828,1.72130975211037,3.27537888076213,15.0333673893914,-0.621079882500537
2005-05-01,3.38493477428186,-0.753645883986297,-0.0163662935067916,1.53075207749076,3.39074305819793,15.1113941059826,-1.66991750922035
2005-06-01,3.03808005398591,-0.683801842657955,-0.0127700453071938,1.31639440287114,3.28610723563372,15.5664333225739,-2.360497782999
2005-07-01,2.97770973368995,-0.849738198329614,-0.00882696803914303,1.11913672825152,3.29147141306952,15.7794346442849,-1.50486645547047
2005-08-01,2.75777848339399,-0.987627372001271,-0.0327394596360772,1.03997905363191,3.26683559050532,16.0024296479132,-0.610199997222973
2005-09-01,2.70414288309803,-1.07948205267293,-0.00555816837292743,1.09242137901229,2.94219976794111,16.2153117566613,1.45822953291996
2005-10-01,2.55932960280208,-1.15663989234459,-0.00624854814700987,1.08816370439268,2.70756394537691,16.5657485222722,1.95342621992561
2005-11-01,2.69685628250611,-1.26749899801624,-0.0149809152280616,0.890906029773062,2.4729281228127,16.7698291604321,0.927083691245013
2005-12-01,2.77428859221016,-1.2391477506879,0.0315099562730982,0.764348355153446,2.0282923002485,16.2111735240821,0.596991162564424
2006-01-01,2.83721536191421,-1.20789709535956,0.00986965100161659,0.655790680533828,1.7236564776843,11.7308995053792,1.30602608486422
2006-02-01,2.63956047161825,-0.885837339031217,-0.00199391091884354,0.512833005914212,1.28902065512009,12.0840227905979,0.819355124811039
2006-03-01,2.42532782132229,-1.06917709270288,0.00939293571462774,0.681275331294597,1.00438483255589,12.5134872522872,0.732184164757911
2006-04-01,2.22404655102634,-1.02037880937453,0.0113025505769146,0.93941765667498,0.839749009991686,12.3343968120157,1.66972153803809
2006-05-01,1.66271706073038,-1.25497004204619,0.0129515479378209,0.938259982055364,0.655113187427482,12.590223528607,1.82088391131827
2006-06-01,1.42465388043442,-0.891146691717849,0.0375563124800444,1.19250230743575,0.670477364863279,12.8810627451982,1.43030363753963
2006-07-01,1.30056280013846,-0.729865631389506,0.0311666692931834,0.776544632816132,0.655841542299074,13.1965640669093,1.98593496506817
2006-08-01,1.32049100984251,-0.775788388061165,0.0103724729015536,0.567286958196517,0.65120571973487,13.0681590705376,2.28060142331568
2006-09-01,1.64710775954655,-0.662254736732823,0.0305908746444116,0.609229283576902,0.666569897170666,12.7404411792857,0.949030953458605
2006-10-01,1.62662767925059,-0.71004911840448,0.0128410646694803,0.500771608957283,0.671934074606463,12.9218779448965,-0.0557723595357419
2006-11-01,1.66157946895464,-0.645483512076138,0.0446429379729809,0.419113934337668,0.667298252042259,13.2981585830564,0.217885111783641
2006-12-01,1.73175900865867,-0.592370152747795,0.0593451319911158,0.332956259718053,0.712662429478055,12.7711029467064,0.987792583103046
2007-01-01,1.76515663836272,-0.650267242419454,0.0308030726887173,0.345998585098437,0.788026606913852,8.25482892800357,0.812827505402823
2007-02-01,1.65090860806676,-0.561006244091111,0.0171604284245084,0.343240910478819,0.843390784349648,8.49405221322228,1.00915654534967
2007-03-01,1.4972883877708,-0.574733252762769,0.0318278265712931,0.423883235859204,0.848754961785444,8.84211667491156,1.67498558529653
2007-04-01,1.16908364747484,-0.684624864434427,0.0129340186369548,0.234925561239589,0.864119139221241,8.84892623464005,2.24652295857672
2007-05-01,0.569936147178889,-0.905654755106085,0.00279341832997234,0.0162678866199713,1.09948331665704,9.1431529512313,2.66068533185691
2007-06-01,0.35518544688293,-0.829064593777743,0.0147726388599474,-0.0363897879996439,1.10484749409283,9.40349216782253,2.27310505807825
2007-07-01,0.332633136586973,-0.8782290704494,0.0101918165449231,-0.130247462619259,1.11021167152863,9.5841934895336,2.1757363856068
2007-08-01,0.300237786291016,-0.786326861121058,0.0202181461386307,0.0533948627611257,1.12557584896443,9.54858849316189,1.6884028438543
2007-09-01,0.50355745599506,-0.856608256792717,0.0183317260242196,0.00573718814150769,1.12094002640022,9.42737060190999,1.92983237399723
2007-10-01,0.462873225699101,-0.726505628464374,-0.000105820362609478,-0.253820486478109,1.15630420383602,9.65030736752085,2.4710290610029
2007-11-01,0.626302665403133,-0.801736073136032,0.0209178472514788,-0.286178161097723,1.36166838127181,9.86778800568072,4.28568653232226
2007-12-01,0.603750355107183,-0.828156504807689,0.0386663540980696,-0.358935835717341,1.36703255870761,9.48463236933078,4.61459400364166
2008-01-01,0.614871624811218,-0.533510934479347,0.0128155368996564,-0.347593510336956,1.37239673614341,5.12595835062792,4.86762892594146
2008-02-01,0.51875551451528,-0.667635710151005,0.0131242963462249,-0.541651184956571,1.3777609135792,5.34838163584661,4.59395796588831
2008-03-01,0.703425204219317,-0.585216601822663,-0.00762500549047285,-0.642808859576187,1.383125091015,5.24044609753589,5.24178700583514
2008-04-01,0.563274413923355,-0.725391152494321,-0.0186628412618644,-0.904266534195804,1.3984892684508,4.98975565726439,5.77432437911534
2008-05-01,0.201396093627397,-0.764914069165978,-0.0124354173942326,-1.03592420881542,1.39385344588659,4.93928237385563,6.73448675239552
2008-06-01,0.184542393331443,-0.725588899837637,-0.0278812623506553,-1.21598188343503,1.46921762332239,4.93872159044687,8.12690647861686
