"Date","P_obs","W_obs","P_stationary_PLS","W_stationary_PLS","P_stationary_PCA","W_stationary_PCA","P_stationary_SPLS","W_stationary_SPLS","P_stationary_SPCA","W_stationary_SPCA","P_Johansen","W_Johansen","P_classic_PLS","W_classic_PLS","P_classic_PCA","W_classic_PCA"
2005-02-01,3.93127449516973,15.2605933679736,3.24856729035089,20.6286620287099,0.608636457127042,8.11656292936985,-0.983912802013125,-3.26594452596943,2.50484558929637,14.3493119889936,1.13414685159364,11.3166157252072,2.0462682956206,16.5626078871413,2.40198341578172,15.4947980540825
2005-03-01,3.90457775487378,15.3987578296629,3.40794741996441,20.7909202547449,0.560294322698763,6.93281420162863,-0.98454377042986,-4.03772150538765,2.4566540112866,13.8200069572346,1.22911933236404,12.2642593816156,2.16582744626672,16.6244020106127,2.48553883329025,16.0081849647528
2005-04-01,3.82348523457782,15.0333673893914,3.45637761426822,20.7625842822955,0.592097246495913,6.58966885472624,-1.09175074106972,-5.13164833490455,2.30052972301124,12.8911608202259,1.25691134603883,12.5415705063128,2.25689939396569,16.7565177036456,2.55439970100113,16.3531052747494
2005-05-01,3.38493477428186,15.1113941059826,3.36306349907567,19.8273071254577,0.592710471116775,5.90711584481994,-1.01841361137565,-4.98013042491409,2.18771168659591,12.1041218575757,1.18682294155368,11.84222232293,2.33463083075493,16.4201102093964,2.58468511308489,16.4701676993971
2005-06-01,3.03808005398591,15.5664333225739,3.60488991395832,20.978612938134,0.407076934800698,5.04362832633079,-1.15790473075172,-6.293675223441,2.00418218891639,11.1253571097729,1.47092846838266,14.6770519290021,2.12650220099646,16.0462201197065,2.42373304938174,15.7041135667722
2005-07-01,2.97770973368995,15.7794346442849,3.79257250861889,22.0423480647386,0.368960743116822,5.09414010881152,-1.1518700083318,-6.59859999428056,2.00623447015849,11.2767369106563,1.69127636666817,16.8757023835268,2.00339076927376,16.0514899489529,2.34281832104841,15.2584317508021
2005-08-01,2.75777848339399,16.0024296479132,3.71729617787931,21.255710656425,0.528242780882876,5.20643683639785,-0.857641995131794,-5.25512921596599,2.22347467314404,12.3601436215841,1.60650443301231,16.0298406715994,2.18081187088265,16.1430651591945,2.46609340869896,15.7431711727041
2005-09-01,2.70414288309803,16.2153117566613,3.6262022537981,20.5126173339679,0.673732564215159,5.44065611594833,-0.661639735497021,-4.33908994137758,2.50884114819459,13.7790354830921,1.49234130439971,14.8907110653399,2.32829429155788,16.223773331746,2.56877769641784,16.1362446288953
2005-10-01,2.55932960280208,16.5657485222722,3.17130190745129,18.3020798198585,1.09480332477776,7.37365565490523,-0.296332030061589,-1.73842558907897,2.70687481013353,14.9879486144493,1.09786053002504,10.9545476590691,2.63394557070342,16.5892571024229,2.79343817484362,16.9452299673581
2005-11-01,2.69685628250611,16.7698291604321,3.08904773463265,18.0239261974099,1.23477643801648,8.21509212244587,-0.131019405041361,-0.604508270514121,2.95891522830643,16.4203679284185,1.01454751831037,10.1232431969002,2.70525207292771,16.8272097938613,2.85544533042519,17.1542810257199
2005-12-01,2.77428859221016,16.2111735240821,3.32351712374262,19.2331754487123,1.13676302478305,7.90606491698589,-0.0162515237510187,-0.188518631138228,3.2753653877679,18.1537847649014,1.2017427656899,11.9910936231501,2.57804668679264,16.8101218274887,2.77049184479937,16.7674798291278
2006-01-01,2.83721536191421,11.7308995053792,3.16707591748432,18.6375512466343,1.14826502892954,8.31093364108276,0.162196644633854,1.11829108934783,3.20138505697413,17.9708134740898,1.1743550733519,11.717816851845,2.4321647840188,16.232225449255,2.63716739499688,15.9122455535338
2006-02-01,2.63956047161825,12.0840227905979,2.25913468982758,12.845496282603,0.920349561831529,5.64246423243468,0.303248499882862,1.86821191776846,2.67445117771258,14.6283156565725,0.639129505151689,6.37728967662377,2.07831207624054,12.3262821758693,2.15576863642127,12.9097255670863
2006-03-01,2.42532782132229,12.5134872522872,2.27352743433135,13.5328838366058,1.03174194507515,6.99104401344778,0.176201873675004,1.10786516955409,2.56830864435289,14.4668373002388,0.750500027238448,7.48855441257978,1.92199602754726,12.4045547899774,2.05710353528494,12.1813133503822
2006-04-01,2.22404655102634,12.3343968120157,2.28743679984152,13.9671714349267,1.03138512650041,7.6347859870504,0.317162812383604,2.53153921314376,2.93857354223917,16.5122550546432,0.725493036590131,7.23903248937098,1.89808783859962,12.6957442795024,2.05939862529014,12.2738318559025
2006-05-01,1.66271706073038,12.590223528607,1.98650759065598,12.7381112042703,1.16698644120945,8.63746183094124,0.30522413406689,3.11100135876874,2.90670982108959,16.4093222584085,0.480565256942071,4.79512184516243,1.95885896934021,12.6761217411211,2.09779273870873,12.3557978426196
2006-06-01,1.42465388043442,12.8810627451982,1.98235265449401,12.6716534464482,1.15499704597849,8.66730592451941,0.541640872009995,4.64137621283692,3.27878642122236,18.3277662963937,0.474881903765274,4.73841285386905,1.93341662372736,12.5380661387679,2.07213786152171,12.2159306588756
2006-07-01,1.30056280013846,13.1965640669093,1.97898345055834,13.4197522920674,1.13534952100752,9.63017203922245,0.156476660672219,2.97597452826294,2.77153412076768,15.9250941338693,0.548771250235195,5.47568716628444,1.81227712789813,12.851681891674,2.01143867499806,11.9725374927107
2006-08-01,1.32049100984251,13.0681590705376,1.95144068413526,13.0110798932048,1.35566711877095,10.113309716949,0.267369954758415,2.77493661138068,2.64758353359418,15.3994797325839,0.594018192850669,5.92716508697904,1.91249792125363,12.8902716164479,2.08042048545586,12.0128156588647
