"Date","s23_obs","s54_obs","s23_stationary_PLS","s54_stationary_PLS","s23_stationary_PCA","s54_stationary_PCA","s23_classic_PCA","s54_classic_PCA","s23_classic_PLS","s54_classic_PLS","s23_stationary_SPCA","s54_stationary_SPCA","s23_stationary_SPLS","s54_stationary_SPLS"
2017-02-01,4.13329232504242,11.9463144021133,-2.31888842573596,-1.54380488405799,2.85569257581039,0.502751990520472,6.64907250022231,4.65970848137984,0.162641872934808,2.1440639625224,-4.56549594361796,-1.69620013282854,12.9034504949109,7.89657905280433
2017-03-01,5.51678121250642,9.30280281947531,-0.236751248469323,0.106593854740329,2.92687232020408,1.14233369426986,4.79286424934815,3.14121971233356,1.44723273290103,1.54343259545326,-2.91539504844805,-0.526431930176863,8.7080196907329,5.20108482312236
2017-04-01,1.10601089395941,6.44074332969933,3.96202493798193,3.19628317178121,8.1330461145928,4.3912211179101,9.12538535869714,5.37955876397993,8.44496612270065,6.19616314330913,3.09059763592046,2.9237752240637,8.86816496061794,7.03608918413637
2017-05-01,2.13775280349941,15.6212067628373,2.43720778696279,2.17176527679833,5.03905461981408,2.79965363202234,5.7276434493891,3.35266822907079,5.3685805404768,3.7789976699233,0.778972663191736,1.6081194645612,8.50958069911515,5.83103159897184
2017-06-01,4.49357824348542,7.50409906340537,4.82264294150843,3.77227703355472,7.04514045387208,4.18150043064043,7.00057798898812,3.8872925385744,8.15814863613647,5.03859635884085,4.25741002260058,3.41208459909469,7.95968475605484,5.62844098777708
2017-07-01,2.34938961006842,4.43429467349437,3.45748848523268,1.91640127537415,6.16678208672033,3.14984551437898,8.60299948169239,5.27808114206449,5.97976794603196,4.78628350809949,3.11930656517396,2.23260439521511,11.4833817186739,7.41718905041925
2017-08-01,4.92707475499941,2.2156854382654,1.57053038783291,0.809027609989564,3.97076640657147,1.867836628056,6.23430887315038,3.93958596050984,3.6612336464906,3.48829668978243,0.778053150600167,0.91716585326767,7.06080322192507,5.07227501913146
2017-09-01,7.29485519848042,1.6405605104154,4.3936297330319,2.56976286266444,6.19335421575929,3.28672588193584,6.01007572122729,3.47404256349121,5.53650737440034,3.28269273069072,4.32719880572631,2.72008821366518,4.57721590385235,3.07135737499079
2017-10-01,6.15447256924442,-2.58850413039357,1.52891359560107,1.29635075111676,3.2065564384442,1.68025854689497,3.45313810929604,2.04374014642528,2.60998801388695,1.4114923309834,2.18568102042759,1.28972794178984,-11.456176392616,-4.50036232797652
2017-11-01,3.56171672237942,3.36899590212844,5.05014136465801,2.92799707961393,5.94188623161734,3.35700692887668,5.20213925536403,2.87588832255858,5.55292817517161,2.7758766566058,4.772943647331,2.98682007831287,2.50751455343779,1.7417910457428
